date,Ростовская область,Московская область,Краснодарский край,Республика Башкортостан,Нижегородская область,Челябинская область
2021-07-01,100.16,100.44,100.22,100.38,100.39,100.5
2021-08-01,100.18,100.14,100.59,100.07,100.07,99.99
2021-09-01,100.72,100.64,100.06,100.7,100.39,100.54
2021-10-01,101.37,101.28,101.32,100.69,101.21,100.82
2021-11-01,100.91,101.33,100.66,101.2,101.24,100.87
2021-12-01,100.85,100.69,100.83,100.85,100.17,100.45
2022-01-01,100.62,101.51,101.02,101.15,101.43,100.99
2022-02-01,100.81,101.31,100.98,101.15,101.07,100.45
2022-03-01,106.78,107.27,106.98,109.28,107.31,106.59
2022-04-01,102.31,101.72,101.95,101.53,101.91,101.82
2022-05-01,100.71,100.32,100.09,99.87,99.72,99.97
2022-06-01,99.67,99.83,99.67,99,99.47,100.15
2022-07-01,99.59,99.57,99.63,99.42,99.38,99.74
2022-08-01,99.7,99.59,99.37,99.19,99.96,99.16
2022-09-01,99.96,100.4,100.07,100.15,99.84,99.74
