date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_92_бензин_розничные_цены_month,Цена_на_95_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_нежилых_коммерческие_здания_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month
2021-11-05,4,11,2021,5,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-06,4,11,2021,6,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-07,4,11,2021,7,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-08,4,11,2021,8,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-09,4,11,2021,9,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-10,4,11,2021,10,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-11,4,11,2021,11,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-12,4,11,2021,12,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-13,4,11,2021,13,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-14,4,11,2021,14,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-15,4,11,2021,15,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-16,4,11,2021,16,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-17,4,11,2021,17,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-18,4,11,2021,18,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-19,4,11,2021,19,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-20,4,11,2021,20,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-21,4,11,2021,21,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-22,4,11,2021,22,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-23,4,11,2021,23,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-24,4,11,2021,24,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-25,4,11,2021,25,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-26,4,11,2021,26,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-27,4,11,2021,27,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
2021-11-28,4,11,2021,28,197.6,10081091.448999995,28722.0,4006.4,2594.5,42362.0,16487.0,2792.0,8811.0,1353532069.1000004,190060520.98,725667751.54,433767017.6100001,756.1865595563014,388.10283256921406,45.82382416787282,50.31271433919891,50.63345525291824,36348487.19999999,19702997.0,95.43333333333334,1335.4,1031.6,403.6,105915.1,104804.3,43906.0,581.8,67.7,122.2,22.16533333
