date,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2021-10-08,4,10,2021,8,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-09,4,10,2021,9,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-10,4,10,2021,10,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-11,4,10,2021,11,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-12,4,10,2021,12,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-13,4,10,2021,13,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-14,4,10,2021,14,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-15,4,10,2021,15,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-16,4,10,2021,16,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
2021-10-17,4,10,2021,17,1584074.1660000002,952.9174311926604,1108.4000000000003,10753.0,45689.0,3506.0,1155.0,4211.0,764917337.54,90202319.43,556244518.81,118467449.04999997,396.8257644910712,167.03187637813295,46.71242537313535,51.49657446808426,48.96965583174015,19689644.20000001,8341652.300000001,175.4516129032258,119.90322580645162,1348.255,14395.27,76.6896551724138,172.61290322580646,172.70967741935485,100.25806451612904,18.48645161,859.0
