date,quarter,month,year,split,из_нежилых_Промышленные_здания_quarter,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,Аренда_складской_недвижимости_month,Аренда_торговой_недвижимости_month,Аренда_офисной_недвижимости_month,Продажа_складской_недвижимости_month,Продажа_торговой_недвижимости_month,Продажа_офисной_недвижимости_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Кол-во_выпущенных_специалистов_сварочного_производства_и_сварщиков_year
2022-01-19,1,1,2022,19,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-20,1,1,2022,20,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-21,1,1,2022,21,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-22,1,1,2022,22,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-23,1,1,2022,23,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-24,1,1,2022,24,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-25,1,1,2022,25,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-26,1,1,2022,26,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-27,1,1,2022,27,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
2022-01-28,1,1,2022,28,24.6,2701392.028000002,38378.0,1710.7951465201463,63314.0,1112.0,2941.0,363953140.84,10980077.55,348544164.64,4393928.7,559.8164990998248,206.2569386038688,52.9675,48.355,51.02,28374066.0,10627045.0,181.5483870967742,113.96774193548389,654.14,822.98,844.8,41725.08,104215.7,198826.77,32.7,61.3,133.51612903225808,173.67741935483872,115.19354838709675,17.04967742,502.26767330130406
